Date,Region,Forecast_Demand,Lower,Upper,Temperature_C,Season,Is_Festival,Plastic_Ban_Active
2024-02-04,South_Zone,11745,9736,13754,14.4,Winter,0,0
2024-02-05,South_Zone,11608,9599,13617,14.1,Winter,0,0
2024-02-06,South_Zone,11779,9770,13788,14.8,Winter,0,0
2024-02-07,South_Zone,11596,9587,13605,13.3,Winter,0,0
2024-02-08,South_Zone,12454,10445,14463,17.4,Winter,0,0
2024-02-09,South_Zone,12814,10805,14823,18.4,Winter,0,0
2024-02-10,South_Zone,11829,9820,13837,14.4,Winter,0,0
2024-02-11,South_Zone,11992,9983,14000,15.7,Winter,0,0
2024-02-12,South_Zone,12031,10022,14040,15.6,Winter,0,0
2024-02-13,South_Zone,12118,10109,14126,15.6,Winter,0,0
2024-02-14,South_Zone,11898,9889,13907,15.9,Winter,0,0
2024-02-15,South_Zone,12010,10001,14019,16.6,Winter,0,0
2024-02-16,South_Zone,11855,9846,13863,15.5,Winter,0,0
2024-02-17,South_Zone,12927,10918,14936,18.3,Winter,0,0
2024-02-18,South_Zone,12218,10209,14227,15.5,Winter,0,0
2024-02-19,South_Zone,13010,11001,15019,19.2,Winter,0,0
2024-02-20,South_Zone,12077,10068,14086,15.1,Winter,0,0
2024-02-21,South_Zone,11860,9851,13869,15.7,Winter,0,0
2024-02-22,South_Zone,12125,10116,14134,16.3,Winter,0,0
2024-02-23,South_Zone,13203,11194,15212,18.5,Winter,0,0
2024-02-24,South_Zone,11916,9907,13925,14.5,Winter,0,0
2024-02-25,South_Zone,12126,10117,14135,16.1,Winter,0,0
2024-02-26,South_Zone,12068,10059,14077,14.1,Winter,0,0
2024-02-27,South_Zone,11958,9950,13967,14.9,Winter,0,0
2024-02-28,South_Zone,12021,10012,14030,16.0,Winter,0,0
2024-02-29,South_Zone,12021,10012,14030,16.0,Winter,0,0
2024-03-01,South_Zone,20619,18610,22628,36.4,Summer,1,0
2024-03-02,South_Zone,20313,18304,22322,34.8,Summer,1,0
2024-03-03,South_Zone,17502,15493,19510,35.0,Summer,0,0
2024-03-04,South_Zone,17754,15745,19763,34.8,Summer,0,0
2024-03-05,South_Zone,16305,14296,18314,32.4,Summer,0,0
2024-03-06,South_Zone,20428,18419,22437,37.6,Summer,1,0
2024-03-07,South_Zone,19838,17829,21847,34.0,Summer,1,0
2024-03-08,South_Zone,20513,18505,22522,36.6,Summer,1,0
2024-03-09,South_Zone,16703,14694,18712,33.3,Summer,0,0
2024-03-10,South_Zone,20557,18548,22566,35.7,Summer,1,0
2024-03-11,South_Zone,17639,15630,19648,34.5,Summer,0,0
2024-03-12,South_Zone,16734,14725,18743,31.2,Summer,0,0
2024-03-13,South_Zone,18101,16092,20110,37.2,Summer,0,0
2024-03-14,South_Zone,19360,17351,21369,32.3,Summer,1,0
2024-03-15,South_Zone,20837,18828,22846,38.0,Summer,1,0
2024-03-16,South_Zone,16644,14635,18653,32.1,Summer,0,0
2024-03-17,South_Zone,17221,15212,19230,35.8,Summer,0,0
2024-03-18,South_Zone,16476,14467,18485,32.9,Summer,0,0
2024-03-19,South_Zone,18346,16337,20354,37.7,Summer,0,0
2024-03-20,South_Zone,16327,14319,18336,30.2,Summer,0,0
2024-03-21,South_Zone,17338,15329,19347,34.9,Summer,0,0
2024-03-22,South_Zone,19561,17552,21570,34.6,Summer,1,0
2024-03-23,South_Zone,19626,17617,21635,33.0,Summer,1,0
2024-03-24,South_Zone,19299,17290,21307,31.7,Summer,1,0
2024-03-25,South_Zone,17318,15309,19327,35.3,Summer,0,0
2024-03-26,South_Zone,20362,18353,22371,36.7,Summer,1,0
2024-03-27,South_Zone,17317,15308,19325,35.7,Summer,0,0
2024-03-28,South_Zone,19988,17979,21997,36.2,Summer,1,0
2024-03-29,South_Zone,17526,15518,19535,36.5,Summer,0,0
2024-03-30,South_Zone,17671,15662,19680,36.1,Summer,0,0
2024-03-31,South_Zone,20371,18363,22380,35.4,Summer,1,0
2024-04-01,South_Zone,16343,14334,18352,31.1,Summer,0,0
2024-04-02,South_Zone,18210,16201,20219,39.0,Summer,0,0
2024-04-03,South_Zone,16942,14934,18951,35.8,Summer,0,0
2024-04-04,South_Zone,17749,15740,19758,35.8,Summer,0,0
2024-04-05,South_Zone,18273,16264,20282,38.5,Summer,0,0
2024-04-06,South_Zone,17816,15807,19824,38.8,Summer,0,0
2024-04-07,South_Zone,17054,15045,19063,35.7,Summer,0,0
2024-04-08,South_Zone,17345,15336,19354,35.5,Summer,0,0
2024-04-09,South_Zone,16457,14448,18465,32.9,Summer,0,0
2024-04-10,South_Zone,17454,15445,19463,35.8,Summer,0,0
2024-04-11,South_Zone,15989,13980,17998,33.6,Summer,0,0
2024-04-12,South_Zone,16457,14449,18466,32.6,Summer,0,0
2024-04-13,South_Zone,16178,14169,18187,33.6,Summer,0,0
2024-04-14,South_Zone,16767,14758,18776,34.9,Summer,0,0
2024-04-15,South_Zone,17884,15875,19893,37.4,Summer,0,0
2024-04-16,South_Zone,18019,16010,20027,37.1,Summer,0,0
2024-04-17,South_Zone,16738,14729,18746,33.7,Summer,0,0
2024-04-18,South_Zone,15422,13413,17431,29.7,Summer,0,0
2024-04-19,South_Zone,16632,14623,18641,34.1,Summer,0,0
2024-04-20,South_Zone,15887,13878,17895,29.8,Summer,0,0
2024-04-21,South_Zone,16360,14351,18368,30.5,Summer,0,0
2024-04-22,South_Zone,18150,16141,20159,38.3,Summer,0,0
2024-04-23,South_Zone,18000,15991,20009,37.7,Summer,0,0
2024-04-24,South_Zone,16595,14587,18604,33.3,Summer,0,0
2024-04-25,South_Zone,16585,14576,18593,35.3,Summer,0,0
2024-04-26,South_Zone,17051,15042,19060,36.3,Summer,0,0
2024-04-27,South_Zone,16471,14462,18480,32.1,Summer,0,0
2024-04-28,South_Zone,16443,14434,18452,31.9,Summer,0,0
2024-04-29,South_Zone,18016,16007,20025,37.7,Summer,0,0
2024-04-30,South_Zone,16589,14580,18598,35.2,Summer,0,0
2024-05-01,South_Zone,16910,14901,18919,33.6,Summer,0,0
2024-05-02,South_Zone,17595,15586,19604,35.5,Summer,0,0
2024-05-03,South_Zone,16499,14490,18508,31.2,Summer,0,0
2024-05-04,South_Zone,17328,15319,19336,35.1,Summer,0,0
2024-05-05,South_Zone,16798,14789,18807,35.1,Summer,0,0
2024-05-06,South_Zone,16036,14027,18045,30.3,Summer,0,0
2024-05-07,South_Zone,17403,15394,19412,35.6,Summer,0,0
2024-05-08,South_Zone,16892,14883,18901,34.7,Summer,0,0
2024-05-09,South_Zone,16759,14750,18768,34.5,Summer,0,0
2024-05-10,South_Zone,18287,16278,20296,39.5,Summer,0,0
2024-05-11,South_Zone,17879,15870,19888,36.0,Summer,0,0
2024-05-12,South_Zone,17255,15247,19264,36.0,Summer,0,0
2024-05-13,South_Zone,16067,14058,18076,31.2,Summer,0,0
2024-05-14,South_Zone,17911,15902,19920,37.5,Summer,0,0
2024-05-15,South_Zone,17758,15749,19767,36.8,Summer,0,0
2024-05-16,South_Zone,17706,15697,19714,35.7,Summer,0,0
2024-05-17,South_Zone,17655,15646,19664,36.5,Summer,0,0
2024-05-18,South_Zone,16858,14849,18866,33.6,Summer,0,0
2024-05-19,South_Zone,16699,14690,18707,33.7,Summer,0,0
2024-05-20,South_Zone,18197,16188,20206,38.3,Summer,0,0
2024-05-21,South_Zone,17467,15459,19476,35.9,Summer,0,0
2024-05-22,South_Zone,16683,14674,18692,35.2,Summer,0,0
2024-05-23,South_Zone,18132,16123,20140,40.1,Summer,0,0
2024-05-24,South_Zone,16026,14017,18034,30.6,Summer,0,0
2024-05-25,South_Zone,17425,15417,19434,37.1,Summer,0,0
2024-05-26,South_Zone,16819,14810,18827,33.3,Summer,0,0
2024-05-27,South_Zone,18236,16227,20244,38.4,Summer,0,0
2024-05-28,South_Zone,17356,15347,19364,35.1,Summer,0,0
2024-05-29,South_Zone,17349,15340,19358,35.0,Summer,0,0
2024-05-30,South_Zone,16822,14813,18831,34.3,Summer,0,0
2024-05-31,South_Zone,16949,14940,18957,33.3,Summer,0,0
2024-06-01,South_Zone,14162,12153,16171,26.8,Monsoon,0,0
2024-06-02,South_Zone,13836,11827,15845,25.8,Monsoon,0,0
2024-06-03,South_Zone,14622,12614,16631,28.7,Monsoon,0,0
2024-06-04,South_Zone,14243,12234,16251,28.0,Monsoon,0,0
2024-06-05,South_Zone,14263,12254,16272,26.7,Monsoon,0,0
2024-06-06,South_Zone,15125,13116,17134,31.1,Monsoon,0,0
2024-06-07,South_Zone,15039,13030,17048,31.4,Monsoon,0,0
2024-06-08,South_Zone,14493,12484,16501,28.9,Monsoon,0,0
2024-06-09,South_Zone,14568,12559,16577,27.1,Monsoon,0,0
2024-06-10,South_Zone,14423,12414,16432,28.7,Monsoon,0,0
2024-06-11,South_Zone,14702,12693,16711,29.6,Monsoon,0,0
2024-06-12,South_Zone,14359,12350,16368,29.0,Monsoon,0,0
2024-06-13,South_Zone,14318,12309,16327,29.1,Monsoon,0,0
2024-06-14,South_Zone,14343,12334,16352,28.9,Monsoon,0,0
2024-06-15,South_Zone,14946,12937,16954,30.1,Monsoon,0,0
2024-06-16,South_Zone,14454,12445,16463,28.2,Monsoon,0,0
2024-06-17,South_Zone,13618,11609,15627,25.6,Monsoon,0,0
2024-06-18,South_Zone,14272,12263,16281,26.5,Monsoon,0,0
2024-06-19,South_Zone,14681,12672,16690,29.4,Monsoon,0,0
2024-06-20,South_Zone,14031,12022,16040,25.1,Monsoon,0,0
2024-06-21,South_Zone,14077,12068,16086,26.3,Monsoon,0,0
2024-06-22,South_Zone,14048,12039,16056,26.8,Monsoon,0,0
2024-06-23,South_Zone,14070,12061,16079,27.5,Monsoon,0,0
2024-06-24,South_Zone,15194,13185,17203,31.3,Monsoon,0,0
2024-06-25,South_Zone,14338,12329,16346,27.6,Monsoon,0,0
2024-06-26,South_Zone,15175,13166,17183,31.9,Monsoon,0,0
2024-06-27,South_Zone,14413,12405,16422,28.5,Monsoon,0,0
2024-06-28,South_Zone,14255,12246,16264,28.8,Monsoon,0,0
2024-06-29,South_Zone,14096,12087,16105,26.2,Monsoon,0,0
2024-06-30,South_Zone,14452,12444,16461,26.9,Monsoon,0,0
2024-07-01,South_Zone,14201,12193,16210,27.2,Monsoon,0,0
2024-07-02,South_Zone,13719,11710,15727,24.6,Monsoon,0,0
2024-07-03,South_Zone,14342,12333,16351,28.9,Monsoon,0,0
2024-07-04,South_Zone,14287,12279,16296,28.6,Monsoon,0,0
2024-07-05,South_Zone,14028,12019,16037,26.3,Monsoon,0,0
2024-07-06,South_Zone,15335,13326,17344,31.7,Monsoon,0,0
2024-07-07,South_Zone,14132,12123,16141,26.9,Monsoon,0,0
2024-07-08,South_Zone,14624,12615,16633,29.1,Monsoon,0,0
2024-07-09,South_Zone,13920,11911,15929,25.0,Monsoon,0,0
2024-07-10,South_Zone,14679,12670,16688,29.4,Monsoon,0,0
2024-07-11,South_Zone,14302,12294,16311,27.9,Monsoon,0,0
2024-07-12,South_Zone,13892,11883,15900,26.3,Monsoon,0,0
2024-07-13,South_Zone,14718,12709,16727,30.1,Monsoon,0,0
2024-07-14,South_Zone,14256,12247,16265,27.6,Monsoon,0,0
2024-07-15,South_Zone,14139,12130,16148,27.4,Monsoon,0,0
2024-07-16,South_Zone,14602,12593,16611,27.0,Monsoon,0,0
2024-07-17,South_Zone,14201,12193,16210,28.1,Monsoon,0,0
2024-07-18,South_Zone,13776,11767,15785,26.1,Monsoon,0,0
2024-07-19,South_Zone,13731,11722,15739,25.7,Monsoon,0,0
2024-07-20,South_Zone,13987,11978,15996,26.6,Monsoon,0,0
2024-07-21,South_Zone,14832,12823,16841,29.9,Monsoon,0,0
2024-07-22,South_Zone,14230,12221,16239,28.4,Monsoon,0,0
2024-07-23,South_Zone,14079,12070,16088,27.3,Monsoon,0,0
2024-07-24,South_Zone,14594,12585,16602,29.4,Monsoon,0,0
2024-07-25,South_Zone,14292,12283,16301,27.4,Monsoon,0,0
2024-07-26,South_Zone,15100,13091,17109,32.2,Monsoon,0,0
2024-07-27,South_Zone,14156,12148,16165,26.6,Monsoon,0,0
2024-07-28,South_Zone,14503,12494,16511,29.0,Monsoon,0,0
2024-07-29,South_Zone,14484,12475,16493,27.9,Monsoon,0,0
2024-07-30,South_Zone,14281,12272,16290,28.0,Monsoon,0,0
2024-07-31,South_Zone,15078,13069,17087,31.3,Monsoon,0,0
2024-08-01,South_Zone,15064,13055,17073,30.8,Monsoon,0,0
2024-08-02,South_Zone,14762,12753,16771,29.6,Monsoon,0,0
2024-08-03,South_Zone,14496,12487,16505,29.1,Monsoon,0,0
2024-08-04,South_Zone,14545,12536,16554,29.1,Monsoon,0,0
2024-08-05,South_Zone,14209,12200,16218,27.3,Monsoon,0,0
2024-08-06,South_Zone,14441,12432,16450,29.1,Monsoon,0,0
2024-08-07,South_Zone,14262,12253,16271,28.0,Monsoon,0,0
2024-08-08,South_Zone,14874,12865,16883,29.2,Monsoon,0,0
2024-08-09,South_Zone,14309,12300,16318,28.9,Monsoon,0,0
2024-08-10,South_Zone,14691,12682,16700,29.8,Monsoon,0,0
2024-08-11,South_Zone,13668,11659,15677,25.9,Monsoon,0,0
2024-08-12,South_Zone,15394,13385,17402,31.6,Monsoon,0,0
2024-08-13,South_Zone,14432,12423,16441,28.8,Monsoon,0,0
2024-08-14,South_Zone,14376,12367,16385,27.5,Monsoon,0,0
2024-08-15,South_Zone,14144,12135,16153,28.4,Monsoon,0,0
2024-08-16,South_Zone,14310,12301,16319,28.5,Monsoon,0,0
2024-08-17,South_Zone,13933,11924,15942,26.2,Monsoon,0,0
2024-08-18,South_Zone,14761,12753,16770,29.8,Monsoon,0,0
2024-08-19,South_Zone,14032,12023,16041,27.0,Monsoon,0,0
2024-08-20,South_Zone,14756,12747,16765,29.9,Monsoon,0,0
2024-08-21,South_Zone,14606,12597,16615,29.6,Monsoon,0,0
2024-08-22,South_Zone,13950,11941,15959,27.4,Monsoon,0,0
2024-08-23,South_Zone,13801,11792,15810,25.4,Monsoon,0,0
2024-08-24,South_Zone,14269,12260,16277,28.5,Monsoon,0,0
2024-08-25,South_Zone,14259,12250,16268,27.9,Monsoon,0,0
2024-08-26,South_Zone,14385,12376,16394,28.9,Monsoon,0,0
2024-08-27,South_Zone,14246,12237,16255,27.4,Monsoon,0,0
2024-08-28,South_Zone,14850,12841,16859,32.2,Monsoon,0,0
2024-08-29,South_Zone,14639,12630,16648,30.5,Monsoon,0,0
2024-08-30,South_Zone,14168,12159,16177,27.1,Monsoon,0,0
2024-08-31,South_Zone,14503,12494,16512,28.2,Monsoon,0,0
2024-09-01,South_Zone,14167,12158,16176,24.5,Autumn,0,0
2024-09-02,South_Zone,13794,11785,15803,25.1,Autumn,0,0
2024-09-03,South_Zone,13666,11657,15675,23.0,Autumn,0,0
2024-09-04,South_Zone,13766,11757,15775,24.1,Autumn,0,0
2024-09-05,South_Zone,13693,11684,15702,23.6,Autumn,0,0
2024-09-06,South_Zone,13717,11708,15726,22.6,Autumn,0,0
2024-09-07,South_Zone,13835,11826,15844,24.4,Autumn,0,0
2024-09-08,South_Zone,13714,11705,15722,24.2,Autumn,0,0
2024-09-09,South_Zone,13401,11392,15410,21.8,Autumn,0,0
2024-09-10,South_Zone,14147,12139,16156,25.0,Autumn,0,0
2024-09-11,South_Zone,14580,12572,16589,26.8,Autumn,0,0
2024-09-12,South_Zone,13801,11792,15809,24.1,Autumn,0,0
2024-09-13,South_Zone,13966,11957,15974,25.7,Autumn,0,0
2024-09-14,South_Zone,14702,12693,16711,27.1,Autumn,0,0
2024-09-15,South_Zone,13834,11825,15843,24.4,Autumn,0,0
2024-09-16,South_Zone,13958,11950,15967,25.5,Autumn,0,0
2024-09-17,South_Zone,13706,11697,15715,23.0,Autumn,0,0
2024-09-18,South_Zone,13517,11508,15526,23.3,Autumn,0,0
2024-09-19,South_Zone,13577,11568,15586,24.0,Autumn,0,0
2024-09-20,South_Zone,13803,11794,15812,23.1,Autumn,0,0
2024-09-21,South_Zone,13619,11610,15628,23.3,Autumn,0,0
2024-09-22,South_Zone,13766,11757,15774,23.5,Autumn,0,0
2024-09-23,South_Zone,13650,11641,15659,23.0,Autumn,0,0
2024-09-24,South_Zone,13549,11540,15558,23.3,Autumn,0,0
2024-09-25,South_Zone,14039,12031,16048,24.7,Autumn,0,0
2024-09-26,South_Zone,13854,11845,15862,25.2,Autumn,0,0
2024-09-27,South_Zone,13755,11747,15764,24.3,Autumn,0,0
2024-09-28,South_Zone,13643,11634,15652,22.7,Autumn,0,0
2024-09-29,South_Zone,13835,11826,15844,24.6,Autumn,0,0
2024-09-30,South_Zone,13824,11815,15833,25.3,Autumn,0,0
2024-10-01,South_Zone,17576,15567,19585,24.1,Autumn,1,0
2024-10-02,South_Zone,18231,16222,20239,25.5,Autumn,1,0
2024-10-03,South_Zone,17932,15923,19941,24.3,Autumn,1,0
2024-10-04,South_Zone,18127,16118,20136,24.6,Autumn,1,0
2024-10-05,South_Zone,13943,11934,15952,25.0,Autumn,0,0
2024-10-06,South_Zone,13832,11824,15841,22.3,Autumn,0,0
2024-10-07,South_Zone,17416,15408,19425,22.2,Autumn,1,0
2024-10-08,South_Zone,17975,15966,19984,25.1,Autumn,1,0
2024-10-09,South_Zone,17548,15539,19557,22.1,Autumn,1,0
2024-10-10,South_Zone,17254,15245,19263,24.3,Autumn,1,0
2024-10-11,South_Zone,17349,15340,19357,22.6,Autumn,1,0
2024-10-12,South_Zone,17468,15459,19477,23.5,Autumn,1,0
2024-10-13,South_Zone,18350,16341,20359,27.0,Autumn,1,0
2024-10-14,South_Zone,17660,15651,19669,22.4,Autumn,1,0
2024-10-15,South_Zone,17915,15906,19923,26.6,Autumn,1,0
2024-10-16,South_Zone,16082,14073,18091,19.1,Autumn,1,0
2024-10-17,South_Zone,17393,15384,19402,24.1,Autumn,1,0
2024-10-18,South_Zone,17366,15357,19375,24.3,Autumn,1,0
2024-10-19,South_Zone,17461,15452,19470,23.2,Autumn,1,0
2024-10-20,South_Zone,17868,15859,19877,25.7,Autumn,1,0
2024-10-21,South_Zone,17405,15396,19414,23.6,Autumn,1,0
2024-10-22,South_Zone,17301,15292,19310,24.3,Autumn,1,0
2024-10-23,South_Zone,17605,15597,19614,23.1,Autumn,1,0
2024-10-24,South_Zone,18085,16076,20094,25.9,Autumn,1,0
2024-10-25,South_Zone,17416,15407,19425,22.7,Autumn,1,0
2024-10-26,South_Zone,17626,15617,19635,24.5,Autumn,1,0
2024-10-27,South_Zone,17334,15325,19342,21.8,Autumn,1,0
2024-10-28,South_Zone,13547,11538,15555,23.1,Autumn,0,0
2024-10-29,South_Zone,17498,15489,19507,24.2,Autumn,1,0
2024-10-30,South_Zone,18089,16080,20098,25.5,Autumn,1,0
2024-10-31,South_Zone,14201,12192,16210,26.0,Autumn,0,0
2024-11-01,South_Zone,17317,15309,19326,23.2,Autumn,1,0
2024-11-02,South_Zone,17554,15545,19562,23.2,Autumn,1,0
2024-11-03,South_Zone,18361,16352,20369,27.9,Autumn,1,0
2024-11-04,South_Zone,17424,15415,19433,24.1,Autumn,1,0
2024-11-05,South_Zone,13614,11605,15623,23.1,Autumn,0,0
2024-11-06,South_Zone,17471,15462,19480,24.0,Autumn,1,0
2024-11-07,South_Zone,17464,15455,19473,23.0,Autumn,1,0
2024-11-08,South_Zone,18278,16269,20286,27.5,Autumn,1,0
2024-11-09,South_Zone,17609,15600,19618,23.5,Autumn,1,0
2024-11-10,South_Zone,18206,16197,20215,26.9,Autumn,1,0
2024-11-11,South_Zone,18108,16100,20117,25.5,Autumn,1,0
2024-11-12,South_Zone,17637,15628,19646,24.3,Autumn,1,0
2024-11-13,South_Zone,18087,16079,20096,25.8,Autumn,1,0
2024-11-14,South_Zone,17700,15691,19709,22.8,Autumn,1,0
2024-11-15,South_Zone,18655,16646,20664,27.7,Autumn,1,0
2024-11-16,South_Zone,17883,15874,19892,22.8,Autumn,1,0
2024-11-17,South_Zone,17998,15989,20007,24.8,Autumn,1,0
2024-11-18,South_Zone,17042,15034,19051,21.0,Autumn,1,0
2024-11-19,South_Zone,18364,16355,20373,26.2,Autumn,1,0
2024-11-20,South_Zone,17899,15890,19908,23.3,Autumn,1,0
2024-11-21,South_Zone,17798,15789,19807,24.3,Autumn,1,0
2024-11-22,South_Zone,17970,15961,19978,23.0,Autumn,1,0
2024-11-23,South_Zone,17948,15939,19957,22.7,Autumn,1,0
2024-11-24,South_Zone,17091,15082,19100,21.5,Autumn,1,0
2024-11-25,South_Zone,18447,16438,20456,24.4,Autumn,1,0
2024-11-26,South_Zone,17105,15096,19113,21.5,Autumn,1,0
2024-11-27,South_Zone,17744,15735,19753,23.5,Autumn,1,0
2024-11-28,South_Zone,18415,16406,20424,25.6,Autumn,1,0
2024-11-29,South_Zone,13528,11519,15537,23.4,Autumn,0,0
2024-11-30,South_Zone,18612,16604,20621,26.5,Autumn,1,0
2024-12-01,South_Zone,10812,8803,12821,10.6,Winter,0,0
2024-12-02,South_Zone,11932,9923,13941,14.8,Winter,0,0
2024-12-03,South_Zone,11721,9713,13730,14.2,Winter,0,0
2024-12-04,South_Zone,11574,9565,13583,14.7,Winter,0,0
2024-12-05,South_Zone,11865,9856,13874,15.8,Winter,0,0
2024-12-06,South_Zone,11645,9637,13654,14.2,Winter,0,0
2024-12-07,South_Zone,12045,10036,14054,15.1,Winter,0,0
2024-12-08,South_Zone,11718,9709,13727,14.6,Winter,0,0
2024-12-09,South_Zone,11907,9899,13916,14.8,Winter,0,0
2024-12-10,South_Zone,11812,9803,13820,13.6,Winter,0,0
2024-12-11,South_Zone,11779,9770,13788,14.6,Winter,0,0
2024-12-12,South_Zone,11694,9685,13702,13.1,Winter,0,0
2024-12-13,South_Zone,12703,10694,14712,17.2,Winter,0,0
2024-12-14,South_Zone,12722,10713,14731,18.4,Winter,0,0
2024-12-15,South_Zone,12644,10635,14653,17.3,Winter,0,0
2024-12-16,South_Zone,11729,9720,13738,14.2,Winter,0,0
2024-12-17,South_Zone,11801,9792,13810,15.0,Winter,0,0
2024-12-18,South_Zone,11937,9928,13946,15.9,Winter,0,0
2024-12-19,South_Zone,11860,9851,13869,15.0,Winter,0,0
2024-12-20,South_Zone,10865,8856,12874,10.9,Winter,0,0
2024-12-21,South_Zone,11912,9903,13921,16.0,Winter,0,0
2024-12-22,South_Zone,10710,8701,12719,10.3,Winter,0,0
2024-12-23,South_Zone,12328,10319,14337,17.4,Winter,0,0
2024-12-24,South_Zone,11838,9829,13847,13.3,Winter,0,0
2024-12-25,South_Zone,12630,10621,14638,17.0,Winter,0,0
2024-12-26,South_Zone,12444,10435,14452,14.9,Winter,0,0
2024-12-27,South_Zone,11442,9433,13451,12.3,Winter,0,0
2024-12-28,South_Zone,11559,9550,13568,14.3,Winter,0,0
2024-12-29,South_Zone,12556,10547,14564,17.6,Winter,0,0
2024-12-30,South_Zone,12040,10032,14049,16.1,Winter,0,0
2024-12-31,South_Zone,12531,10522,14540,16.7,Winter,0,0
2024-01-01,East_Zone,9060,7051,11069,16.1,Winter,0,0
2024-01-02,East_Zone,8540,6531,10549,14.8,Winter,0,0
2024-01-03,East_Zone,8630,6622,10639,12.6,Winter,0,0
2024-01-04,East_Zone,8219,6210,10228,13.5,Winter,0,0
2024-01-05,East_Zone,8486,6478,10495,14.7,Winter,0,0
2024-01-06,East_Zone,8673,6664,10682,14.6,Winter,0,0
2024-01-07,East_Zone,8857,6848,10866,15.4,Winter,0,0
2024-01-08,East_Zone,8786,6777,10795,14.6,Winter,0,0
2024-01-09,East_Zone,9152,7143,11161,17.2,Winter,0,0
2024-01-10,East_Zone,7691,5682,9700,11.2,Winter,0,0
2024-01-11,East_Zone,8805,6796,10814,15.6,Winter,0,0
2024-01-12,East_Zone,8987,6978,10995,16.1,Winter,0,0
2024-01-13,East_Zone,8518,6509,10527,14.0,Winter,0,0
2024-01-14,East_Zone,8634,6626,10643,14.4,Winter,0,0
2024-01-15,East_Zone,9400,7391,11409,16.7,Winter,0,0
2024-01-16,East_Zone,9130,7121,11139,15.7,Winter,0,0
2024-01-17,East_Zone,9046,7037,11055,15.5,Winter,0,0
2024-01-18,East_Zone,8843,6834,10852,15.0,Winter,0,0
2024-01-19,East_Zone,9289,7280,11298,16.3,Winter,0,0
2024-01-20,East_Zone,8734,6725,10742,14.2,Winter,0,0
2024-01-21,East_Zone,8520,6511,10528,12.6,Winter,0,0
2024-01-22,East_Zone,9028,7019,11037,14.7,Winter,0,0
2024-01-23,East_Zone,8989,6980,10998,14.8,Winter,0,0
2024-01-24,East_Zone,8323,6314,10332,12.4,Winter,0,0
2024-01-25,East_Zone,8691,6682,10700,15.1,Winter,0,0
2024-01-26,East_Zone,9350,7341,11358,16.3,Winter,0,0
2024-01-27,East_Zone,9428,7419,11437,16.1,Winter,0,0
2024-01-28,East_Zone,9369,7360,11378,16.2,Winter,0,0
2024-01-29,East_Zone,7706,5697,9715,11.3,Winter,0,0
2024-01-30,East_Zone,9289,7281,11298,16.6,Winter,0,0
2024-01-31,East_Zone,8959,6950,10967,15.2,Winter,0,0
2024-02-01,East_Zone,9805,7796,11813,18.1,Winter,0,0
2024-02-02,East_Zone,9033,7024,11041,15.6,Winter,0,0
2024-02-03,East_Zone,8190,6181,10199,13.0,Winter,0,0
2024-02-04,East_Zone,7806,5797,9815,11.8,Winter,0,0
2024-02-05,East_Zone,8568,6559,10577,13.4,Winter,0,0
2024-02-06,East_Zone,8318,6309,10326,12.1,Winter,0,0
2024-02-07,East_Zone,8245,6236,10254,13.4,Winter,0,0
2024-02-08,East_Zone,8642,6633,10651,15.4,Winter,0,0
2024-02-09,East_Zone,8756,6747,10765,15.3,Winter,0,0
2024-02-10,East_Zone,8960,6951,10969,16.1,Winter,0,0
2024-02-11,East_Zone,9181,7172,11190,16.2,Winter,0,0
2024-02-12,East_Zone,8896,6887,10905,14.5,Winter,0,0
2024-02-13,East_Zone,9295,7286,11304,16.0,Winter,0,0
2024-02-14,East_Zone,8963,6954,10972,15.7,Winter,0,0
2024-02-15,East_Zone,7856,5847,9865,11.6,Winter,0,0
2024-02-16,East_Zone,8511,6502,10520,13.3,Winter,0,0
2024-02-17,East_Zone,9021,7013,11030,14.4,Winter,0,0
2024-02-18,East_Zone,9169,7160,11178,15.5,Winter,0,0
2024-02-19,East_Zone,8169,6160,10178,12.5,Winter,0,0
2024-02-20,East_Zone,9524,7516,11533,16.6,Winter,0,0
2024-02-21,East_Zone,8809,6800,10817,15.9,Winter,0,0
2024-02-22,East_Zone,8967,6958,10976,15.2,Winter,0,0
2024-02-23,East_Zone,10204,8195,12213,19.2,Winter,0,0
2024-02-24,East_Zone,9486,7477,11495,17.4,Winter,0,0
2024-02-25,East_Zone,9433,7424,11441,17.1,Winter,0,0
2024-02-26,East_Zone,9218,7209,11227,15.1,Winter,0,0
2024-02-27,East_Zone,9591,7582,11600,16.3,Winter,0,0
2024-02-28,East_Zone,8848,6839,10857,14.2,Winter,0,0
2024-02-29,East_Zone,8848,6839,10857,14.2,Winter,0,0
2024-03-01,East_Zone,17629,15620,19638,36.6,Summer,1,0
2024-03-02,East_Zone,17720,15711,19729,36.4,Summer,1,0
2024-03-03,East_Zone,13701,11692,15709,33.9,Summer,0,0
2024-03-04,East_Zone,14487,12478,16495,37.1,Summer,0,0
2024-03-05,East_Zone,13563,11554,15572,34.9,Summer,0,0
2024-03-06,East_Zone,17312,15303,19321,29.4,Summer,1,0
2024-03-07,East_Zone,16738,14729,18747,32.0,Summer,1,0
2024-03-08,East_Zone,17086,15077,19095,32.8,Summer,1,0
2024-03-09,East_Zone,14054,12045,16062,38.3,Summer,0,0
2024-03-10,East_Zone,17173,15164,19182,35.3,Summer,1,0
